user_id,型号,延迟时间,网络卡顿,no0,delay_time0,no1,delay_time1,no2,delay_time2,no3,delay_time3,no4,delay_time4,no5,delay_time5,no6,delay_time6,no7,delay_time7,no8,delay_time8,no9,delay_time9
1335527842144,小布助手,1,3秒以内,0,1.4170521541950114,1,4.656916099773243,1,4.8034467120181406,0,2.4572789115646256,0,1.6262585034013606,0,4.295419501133787,0,3.3448526077097505,0,1.1764172335600906,0,3.1839002267573697,0,1.556780045351474
1333812694224,小爱同学,1,1秒以内,1,2.119455782312925,0,2.8821768707482995,1,2.6952380952380954,0,3.3082539682539682,1,4.761768707482993,0,3.7959637188208615,0,3.1689795918367345,0,1.914829931972789,0,2.132517006802721,0,3.9815419501133786
1333812705552,华为,2,1秒以内,1,3.8817233560090703,1,2.3901587301587304,0,1.4268027210884353,1,2.6020408163265305,0,2.2658503401360544,0,1.2500680272108844,1,2.9180045351473924,1,4.1420861678004535,0,2.9524716553287984,1,3.157233560090703
1333812551104,siri,2,1秒以内,1,3.571201814058957,1,2.5999092970521542,1,3.5361904761904763,1,3.7453061224489796,1,2.9322448979591837,1,4.914829931972789,0,1.0931519274376418,1,4.831519274376417,0,1.7578231292517006,0,1.4108843537414966
1333812754272,小爱同学,2,3秒以内,1,3.5287074829931973,1,3.9839002267573695,0,1.9857142857142858,0,1.6091609977324264,1,4.928390022675737,0,4.42530612244898,0,2.2643990929705216,0,2.263764172335601,0,2.003718820861678,1,4.354829931972789
1333812584752,小艺,2,1秒以内,0,1.9101133786848072,1,2.807301587301587,1,2.4471201814058956,1,4.317097505668934,0,1.527845804988662,1,4.255918367346939,0,3.2555555555555555,1,4.395419501133786,1,3.9341950113378683,1,4.385170068027211
1333812547936,siri,1,3秒以内,0,4.847936507936508,1,4.7345578231292516,0,1.3292517006802722,1,3.7741496598639457,0,2.230294784580499,1,3.9528344671201814,1,3.165986394557823,1,2.6296598639455784,1,4.014603174603175,1,2.1285260770975056
1333812493712,homepod,1,1秒以内,0,1.8789569160997732,1,2.2554648526077097,1,4.030204081632653,0,1.4093877551020408,1,1.6477551020408163,0,1.865578231292517,1,3.1933786848072563,1,4.866122448979592,0,2.908526077097506,0,2.178140589569161
1333812588160,siri,1,3秒以内,0,1.5150113378684806,1,3.1520634920634922,1,3.643628117913832,1,4.7227210884353745,1,3.3304308390022674,1,3.088344671201814,0,2.3788662131519276,1,4.556643990929706,0,3.1346485260770973,0,2.0952834467120183
1333812463456,天猫精灵,3,1秒以内,1,4.9714285714285715,1,4.088344671201814,1,1.2193197278911565,1,2.7336507936507934,1,2.845578231292517,1,2.3903401360544216,0,1.1398185941043084,1,2.452154195011338,1,4.16907029478458,1,2.530702947845805
1333812395120,小度,1,1秒以内,0,3.0415419501133787,1,4.95328798185941,1,4.536054421768707,0,1.9552834467120181,0,2.642448979591837,0,2.2489795918367346,0,3.2980498866213153,0,2.599546485260771,0,1.1136961451247165,0,3.6113832199546487
1333812288816,siri,1,5-10秒,0,4.598367346938775,0,2.6710204081632654,0,2.78,1,4.049478458049887,1,1.3997732426303855,0,4.6221768707483,1,4.517052154195011,0,4.285215419501133,1,4.4977324263038545,1,3.5129251700680273
1333812393056,siri,5,5秒以内,0,3.743809523809524,0,1.0769614512471655,1,2.6987755102040816,1,2.975736961451247,1,3.1907936507936507,0,4.566258503401361,1,4.146167800453514,0,4.724716553287982,0,2.107845804988662,0,4.430702947845805
1333812675104,siri,1,1秒以内,1,3.121269841269841,0,3.120181405895692,0,1.9512471655328798,1,3.357324263038549,0,2.778503401360544,0,2.2891609977324263,0,2.3364625850340137,0,3.7472108843537413,0,3.773469387755102,0,3.456825396825397
1333812694224,天猫精灵,1,1秒以内,0,4.851473922902494,0,2.3890702947845806,0,1.7814512471655328,0,1.6491156462585035,0,2.2434920634920634,0,4.268117913832199,0,1.1917006802721088,0,4.328707482993197,0,4.667845804988662,0,1.3770975056689343
1333811879024,Siri,1,5秒以内,1,3.0365079365079364,0,1.144671201814059,1,4.610430839002268,1,2.4398185941043082,0,1.4098866213151928,0,1.5370068027210884,0,2.856281179138322,1,2.52421768707483,1,2.964172335600907,1,4.388480725623583
1333811928704,siri,3,5秒以内,1,3.827074829931973,0,4.341768707482993,0,2.3927891156462584,1,3.3858049886621315,0,2.155963718820862,0,3.6731519274376416,0,1.0296145124716554,1,4.774058956916099,0,3.101451247165533,0,1.9417233560090703
1333812095824,,2,1秒以内,1,1.896326530612245,1,2.1754195011337867,1,3.8991383219954647,0,1.0970068027210884,1,2.746077097505669,1,2.8444444444444446,1,4.2260317460317465,1,4.931700680272109,1,1.7498866213151927,1,4.522721088435374
1333812840624,SIRI,2,1秒以内,1,3.2067120181405895,1,4.273560090702948,1,3.6755102040816325,0,2.2599092970521544,1,4.914784580498866,1,3.963673469387755,0,1.307437641723356,0,1.7458049886621316,0,1.012154195011338,1,4.325124716553288
1333811839136,小爱同学,1,1秒以内,1,3.7645804988662133,1,3.122675736961451,1,4.843356009070295,1,4.437460317460317,0,1.3142857142857143,0,2.6756462585034013,1,4.32031746031746,0,1.6440816326530612,0,2.8546031746031746,0,1.4479365079365079
1333812550768,siri,1,1秒以内,1,1.0659863945578232,1,2.6249886621315195,1,1.8600453514739228,1,3.3858049886621315,0,1.392108843537415,1,2.8216780045351473,1,2.15859410430839,1,3.2389115646258504,0,2.092199546485261,1,3.7769614512471654
